FrameId,Id,X,Y,Width,Height,Confidence,Class,Visibility
1,1,452.06,212.54,222.52000000000004,311.81000000000006,1,1,1.0
1,2,656.16,467.65,109.13,110.55000000000007,1,1,1.0
1,3,470.49,637.73,289.13,290.54999999999995,1,1,1.0
1,4,837.57,742.61,160.15999999999997,137.48000000000002,1,1,1.0
1,5,1130.96,389.7,126.13999999999987,229.60999999999996,1,1,1.0
2,1,455.18,214.66,222.52000000000004,311.81000000000006,1,1,1.0
2,2,656.78,468.19,108.27999999999997,110.01000000000005,1,1,1.0
2,3,470.58,637.94,289.13000000000005,290.81999999999994,1,1,1.0
2,4,837.06,742.61,160.4000000000001,137.48000000000002,1,1,1.0
2,5,1132.09,373.54,128.70000000000005,240.38999999999993,1,1,1.0
3,1,458.3,216.79,222.52000000000004,311.81000000000006,1,1,1.0
3,2,657.4,468.74,107.42000000000007,109.46000000000004,1,1,1.0
3,3,470.66,638.15,289.13999999999993,291.09000000000003,1,1,1.0
3,4,836.55,742.61,160.63,137.48000000000002,1,1,1.0
3,5,1133.23,357.39,131.25,251.15999999999997,1,1,1.0
4,1,461.42,218.91,222.52000000000004,311.81000000000006,1,1,1.0
4,2,658.02,469.28,106.57000000000005,108.92000000000007,1,1,1.0
4,3,470.75,638.37,289.14,291.35,1,1,1.0
4,4,836.04,742.61,160.87,137.49,1,1,1.0
4,5,1134.36,341.23,133.81000000000017,261.92999999999995,1,1,1.0
5,1,464.54,221.04,222.51999999999992,311.81000000000006,1,1,1.0
5,2,658.63,469.82,105.72000000000003,108.38000000000005,1,1,1.0
5,3,470.84,638.58,289.13000000000005,291.62,1,1,1.0
5,4,835.52,742.61,161.11,137.49,1,1,1.0
5,5,1135.5,325.07,136.3599999999999,272.71,1,1,1.0
6,1,467.65,223.17,222.51999999999998,311.81000000000006,1,1,1.0
6,2,659.25,470.36,104.87,107.84000000000003,1,1,1.0
6,3,470.93,638.79,289.12999999999994,291.88,1,1,1.0
6,4,835.01,742.61,161.35000000000002,137.49,1,1,1.0
6,5,1136.63,308.91,138.91999999999985,283.48999999999995,1,1,1.0
7,1,470.77,225.29,222.51999999999998,311.81000000000006,1,1,1.0
7,2,659.87,470.9,104.00999999999999,107.30000000000007,1,1,1.0
7,3,471.02,639.0,289.13,292.15,1,1,1.0
7,4,834.5,742.61,161.59000000000003,137.49,1,1,1.0
7,5,1137.76,292.76,141.48000000000002,294.26,1,1,1.0
8,1,473.89,227.42,222.51999999999998,311.81000000000006,1,1,1.0
8,2,660.49,471.44,103.15999999999997,106.76000000000005,1,1,1.0
8,3,471.1,639.21,289.14,292.41999999999996,1,1,1.0
8,4,833.99,742.61,161.81999999999994,137.49,1,1,1.0
8,5,1138.9,276.6,144.02999999999997,305.03999999999996,1,1,1.0
9,1,477.01,229.54,222.51999999999998,311.81000000000006,1,1,1.0
9,2,661.11,471.98,102.30999999999995,106.22000000000003,1,1,1.0
9,3,471.19,639.42,289.14000000000004,292.69000000000005,1,1,1.0
9,4,833.47,742.61,162.06999999999994,137.49,1,1,1.0
9,5,1140.03,260.44,146.58999999999992,315.82,1,1,1.0
10,1,480.13,231.67,222.51999999999998,311.81000000000006,1,1,1.0
10,2,661.73,472.52,101.44999999999993,105.68000000000006,1,1,1.0
10,3,471.28,639.63,289.13,292.95000000000005,1,1,1.0
